accession	id	ec	length	organism	primary_pfam	primary_pfam_name	all_pfams
O39927	POLG_HCVEU	2.7.7.48; 3.4.21.98; 3.4.22.-; 3.6.1.15; 3.6.4.13	3018	Hepatitis C virus genotype 6a (isolate EUHK2) (HCV)	PF07652	Flavivirus DEAD domain	PF07652;PF01543;PF01542;PF01539;PF01560;PF01538;PF01006;PF01001;PF01506;PF08300;PF08301;PF12941;PF22027;PF02907;PF00998
O39928	POLG_HCVEV	2.7.7.48; 3.4.21.98; 3.4.22.-; 3.6.1.15; 3.6.4.13	3014	Hepatitis C virus genotype 5a (isolate EUH1480) (HCV)	PF00998	Viral RNA dependent RNA polymerase	PF01543;PF01542;PF01539;PF01560;PF01538;PF01006;PF01001;PF01506;PF08300;PF08301;PF12941;PF22027;PF02907;PF00998
O39929	POLG_HCVED	2.7.7.48; 3.4.21.98; 3.4.22.-; 3.6.1.15; 3.6.4.13	3008	Hepatitis C virus genotype 4a (isolate ED43) (HCV)	PF00998	Viral RNA dependent RNA polymerase	PF01543;PF01542;PF01539;PF01560;PF01538;PF01006;PF01001;PF01506;PF08300;PF08301;PF12941;PF22027;PF02907;PF00998
O40955	POLN_RUBVR	2.7.7.48; 3.4.22.-; 3.6.1.15; 3.6.4.13	2116	Rubella virus (strain RA27/3 vaccine) (RUBV)	PF00978	RNA dependent RNA polymerase	PF01661;PF05407;PF00978;PF12601;PF01443
O41174	POLG_PEV9U	2.7.7.48; 3.4.22.28; 3.4.22.29; 3.6.1.15	2168	Porcine enterovirus 9 (strain UKG/410/73)	PF00680	Viral RNA-dependent RNA polymerase	PF08727;PF00548;PF02226;PF00947;PF01552;PF00680;PF00073;PF22663;PF00910
O41798	POL_HV19N	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.13.2; 3.1.26.13; 3.4.23.16	1435	Human immunodeficiency virus type 1 group M subtype G (isolate 92NG083) (HIV-1)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00540;PF19317;PF00552;PF02022;PF00075;PF00665;PF00077;PF00078;PF06815;PF06817;PF00098
O43252	PAPS1_HUMAN	2.7.1.25; 2.7.7.4	624	Homo sapiens (Human)	PF01747	ATP-sulfurylase	PF01583;PF01747;PF14306
O46102	PAPD1_DROME	2.7.7.19	612	Drosophila melanogaster (Fruit fly)	PF22600	Poly(A) RNA polymerase, mitochondrial-like, central palm domain	PF22600;PF03828
O48653	DPOLA_ORYSJ	2.7.7.7	1534	Oryza sativa subsp. japonica (Rice)	PF03104	DNA polymerase family B, exonuclease domain	PF12254;PF00136;PF03104;PF08996
O50274	CYSNC_PSEAE	2.7.1.25; 2.7.7.4	633	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	PF22594	GTP-eEF1A C-terminal domain-like	PF01583;PF22594;PF00009
O54003	REP75_PYRAB	2.7.7.31; 3.1.21.-; 6.5.1.1	654	Pyrococcus abyssi (strain GE5 / Orsay)	NO_PFAM	no Pfam annotation	
O54747	DPOD1_RAT	2.7.7.7; 3.1.11.-	1103	Rattus norvegicus (Rat)	PF03104	DNA polymerase family B, exonuclease domain	PF00136;PF03104;PF24055;PF14260
O54888	RPA2_RAT	2.7.7.6	1135	Rattus norvegicus (Rat)	PF00562	RNA polymerase Rpb2, domain 6	PF04563;PF04561;PF04565;PF00562;PF04560
O54889	RPA1_RAT	2.7.7.6	1716	Rattus norvegicus (Rat)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
O55236	MCE1_MOUSE	2.7.7.50; 3.6.1.74	597	Mus musculus (Mouse)	PF03919	mRNA capping enzyme, C-terminal domain	PF00782;PF03919;PF01331
O55528	L_SENDO	2.7.7.48; 2.7.7.88; 3.6.1.-	2228	Sendai virus (strain Ohita) (SeV)	PF14318	Mononegavirales mRNA-capping region V	PF14318;PF00946
O56075	POLG_PEMVM	2.7.7.48; 3.4.21.-; 3.4.22.44; 3.4.22.45; 3.6.4.-	3099	Peanut mottle virus (strain M)	PF00680	Viral RNA-dependent RNA polymerase	PF00270;PF00271;PF00863;PF00851;PF01577;PF00767;PF08440;PF13608;PF00680
O57209	MCEL_VACCA	2.1.1.56; 2.7.7.50; 3.6.1.74	844	Vaccinia virus (strain Ankara) (VACV)	PF03291	mRNA (guanine-N(7))-methyltransferase domain	PF21004;PF10640;PF03291;PF21005
O57383	DPOLB_XENLA	2.7.7.7; 4.2.99.-; 4.2.99.18	334	Xenopus laevis (African clawed frog)	PF14791	DNA polymerase beta thumb	PF14792;PF14791;PF10391;PF14716
O59954	UBA4_EMENI	2.7.7.80; 2.8.1.11	482	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	PF00899	ThiF family	PF00581;PF00899
O60673	REV3L_HUMAN	2.7.7.7	3130	Homo sapiens (Human)	PF03104	DNA polymerase family B, exonuclease domain	PF00136;PF03104;PF15735;PF24055;PF24065;PF14260
O60942	MCE1_HUMAN	2.7.7.50; 3.6.1.74	597	Homo sapiens (Human)	PF03919	mRNA capping enzyme, C-terminal domain	PF00782;PF03919;PF01331
O64642	URT1_ARATH	2.7.7.52	764	Arabidopsis thaliana (Mouse-ear cress)	PF22600	Poly(A) RNA polymerase, mitochondrial-like, central palm domain	PF22600;PF03828
O64765	UAP2_ARATH	2.7.7.23; 2.7.7.83; 2.7.7.9	502	Arabidopsis thaliana (Mouse-ear cress)	PF01704	UTP--glucose-1-phosphate uridylyltransferase	PF01704
O67911	CATNT_AQUAE	2.7.7.-	512	Aquifex aeolicus (strain VF5)	PF01966	HD domain	PF01966;PF01743;PF12627
O70299	MB211_MOUSE	2.7.7.-	359	Mus musculus (Mouse)	PF20266	Mab-21 protein HhH/H2TH-like domain	PF03281;PF20266
O70372	TERT_MOUSE	2.7.7.49	1122	Mus musculus (Mouse)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00078;PF12009;PF21399
O71189	R1AB_GLRV3	2.1.1.-; 2.7.7.48; 3.4.22.-; 3.6.4.13	2772	Grapevine leafroll-associated virus 3 (isolate United States/NY1) (GLRaV-3) (Grapevine leafroll-associated closterovirus (isolate 109))	PF00978	RNA dependent RNA polymerase	PF03171;PF00978;PF01443;PF01660
O72157	RDRP_SBMVA	2.7.7.48; 3.4.21.-	962	Southern bean mosaic virus (isolate Bean/United States/Arkansas) (SBMV)	PF02123	Viral RNA-directed RNA-polymerase	PF02122;PF02123
O73556	POLG_HPE2W	2.7.7.48; 3.4.22.28; 3.6.1.15	2179	Human parechovirus 2 (strain Williamson) (HPeV-2) (Echovirus 23)	PF00680	Viral RNA-dependent RNA polymerase	PF06344;PF00548;PF06363;PF00680;PF00073;PF00910
O74518	CID12_SCHPO	2.7.7.19	336	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	PF22600	Poly(A) RNA polymerase, mitochondrial-like, central palm domain	PF22600;PF03828
O74944	POLK_SCHPO	2.7.7.7	547	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	PF00817	impB/mucB/samB family	PF00817;PF11799
O75417	DPOLQ_HUMAN	2.7.7.49; 2.7.7.7; 3.6.4.12	2590	Homo sapiens (Human)	PF00476	DNA polymerase family A	PF00270;PF00476;PF25453;PF00271;PF20470;PF21099
O76365	CTU1_CAEEL	2.7.7.-	373	Caenorhabditis elegans	PF01171	PP-loop domain	PF01171;PF16503
O77448	TERT_TETTS	2.7.7.49	1117	Tetrahymena thermophila (strain SB210)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF23119;PF00078;PF12009;PF11474
O82312	PAPS2_ARATH	2.7.7.19	800	Arabidopsis thaliana (Mouse-ear cress)	PF04928	Poly(A) polymerase central domain	PF04928;PF20750;PF04926
O82504	RDR2_ARATH	2.7.7.48	1133	Arabidopsis thaliana (Mouse-ear cress)	PF05183	RNA dependent RNA polymerase	PF24823;PF05183;PF26253;PF26252;PF26250
O88428	PAPS2_MOUSE	2.7.1.25; 2.7.7.4	621	Mus musculus (Mouse)	PF01747	ATP-sulfurylase	PF01583;PF01747;PF14306
O89042	DPOLA_RAT	2.7.7.7	1451	Rattus norvegicus (Rat)	PF03104	DNA polymerase family B, exonuclease domain	PF12254;PF00136;PF03104;PF08996
O89106	FHIT_MOUSE	2.7.7.51; 3.6.1.29; 3.6.2.1; 3.9.1.-	150	Mus musculus (Mouse)	PF01230	?	PF01230
O89290	POL_HV193	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.13.2; 3.1.26.13; 3.4.23.16	1430	Human immunodeficiency virus type 1 group M subtype F1 (isolate 93BR020) (HIV-1)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00540;PF19317;PF00552;PF02022;PF00075;PF00665;PF00077;PF00078;PF06815;PF06817;PF00098
O89940	POL_HV1SE	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.13.2; 3.1.26.13; 3.4.23.16	1433	Human immunodeficiency virus type 1 group M subtype G (isolate SE6165) (HIV-1)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00540;PF19317;PF00552;PF02022;PF00075;PF00665;PF00077;PF00078;PF06815;PF06817;PF00098
O90368	POLN_ONNVS	2.1.1.-; 2.7.7.-; 2.7.7.19; 2.7.7.48; 3.1.3.84; 3.4.22.-; 3.6.1.15; 3.6.1.74; 3.6.4.13	2513	O'nyong-nyong virus (strain SG650) (ONNV)	PF00978	RNA dependent RNA polymerase	PF01661;PF20852;PF01707;PF00978;PF20896;PF01443;PF01660
O90370	POLN_ONNVI	2.1.1.-; 2.7.7.-; 2.7.7.19; 2.7.7.48; 3.1.3.84; 3.4.22.-; 3.6.1.15; 3.6.1.74; 3.6.4.13	2513	O'nyong-nyong virus (strain Igbo Ora) (ONNV) (Igbo Ora virus)	PF00978	RNA dependent RNA polymerase	PF01661;PF20852;PF01707;PF00978;PF20896;PF01443;PF01660
O91080	POL_HV1YF	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.13.2; 3.1.26.13; 3.4.23.16	1449	Human immunodeficiency virus type 1 group N (isolate YBF30) (HIV-1)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00540;PF19317;PF00552;PF02022;PF00075;PF00665;PF00077;PF00078;PF06815;PF06817;PF00098
O91464	POLG_AIVA8	2.7.7.48; 3.4.22.28; 3.6.4.13	2432	Aichi virus (strain Human/A846/88/1989) (AiV) (Aichi virus (strain A846/88))	PF00680	Viral RNA-dependent RNA polymerase	PF00548;PF00680;PF00073;PF22663;PF00910
O91734	POLG_EC01F	2.7.7.48; 3.4.22.28; 3.4.22.29; 3.6.1.15	2184	Echovirus 1 (strain Human/Egypt/Farouk/1951) (E-1)	PF00680	Viral RNA-dependent RNA polymerase	PF08727;PF00548;PF02226;PF00947;PF01552;PF00680;PF00073;PF00910
O91936	POLG_HCVSA	2.7.7.48; 3.4.21.98; 3.4.22.-; 3.6.1.15; 3.6.4.13	3014	Hepatitis C virus genotype 5a (isolate SA13) (HCV)	PF07652	Flavivirus DEAD domain	PF07652;PF01543;PF01542;PF01539;PF01560;PF01538;PF01006;PF01001;PF01506;PF08300;PF08301;PF12941;PF22027;PF02907;PF00998
O91940	L_BRSVA	2.7.7.48; 2.7.7.88; 3.6.1.-	2162	Bovine respiratory syncytial virus (strain A51908) (BRS)	PF14318	Mononegavirales mRNA-capping region V	PF14314;PF14318;PF00946
O92529	POLG_HCVT5	2.7.7.48; 3.4.21.98; 3.4.22.-; 3.6.1.15; 3.6.4.13	3019	Hepatitis C virus genotype 6b (isolate Th580) (HCV)	PF07652	Flavivirus DEAD domain	PF07652;PF01543;PF01542;PF01539;PF01560;PF01538;PF01006;PF01001;PF01506;PF08300;PF08301;PF12941;PF22027;PF02907;PF00998
O92530	POLG_HCVVN	2.7.7.48; 3.4.21.98; 3.4.22.-; 3.6.1.15; 3.6.4.13	3013	Hepatitis C virus genotype 6d (isolate VN235) (HCV)	PF07652	Flavivirus DEAD domain	PF07652;PF01543;PF01542;PF01539;PF01560;PF01538;PF01006;PF01001;PF01506;PF08300;PF08301;PF12941;PF22027;PF02907;PF00998
O92531	POLG_HCVVO	2.7.7.48; 3.4.21.98; 3.4.22.-; 3.6.1.15; 3.6.4.13	3016	Hepatitis C virus genotype 6k (isolate VN405) (HCV)	PF07652	Flavivirus DEAD domain	PF07652;PF01543;PF01542;PF01539;PF01560;PF01538;PF01006;PF01001;PF01506;PF08300;PF08301;PF12941;PF22027;PF02907;PF00998
O92532	POLG_HCVVP	2.7.7.48; 3.4.21.98; 3.4.22.-; 3.6.1.15; 3.6.4.13	3015	Hepatitis C virus genotype 6h (isolate VN004) (HCV)	PF07652	Flavivirus DEAD domain	PF07652;PF01543;PF01542;PF01539;PF01560;PF01538;PF01006;PF01001;PF01506;PF08300;PF08301;PF12941;PF22027;PF02907;PF00998
O92815	POL_WDSV	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.26.4; 3.4.23.-	1752	Walleye dermal sarcoma virus (WDSV)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF18697;PF00075;PF17919;PF00665;PF00077;PF00078;PF00098
O92956	POL_RSVSB	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.26.4; 3.4.23.-	1603	Rous sarcoma virus subgroup B (strain Schmidt-Ruppin) (RSV-SR-B)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00607;PF00552;PF02022;PF02813;PF00665;PF00077;PF00078;PF06817;PF00098
O92972	POLG_HCVJ4	2.7.7.48; 3.4.21.98; 3.4.22.-; 3.6.1.15; 3.6.4.13	3010	Hepatitis C virus genotype 1b (strain HC-J4) (HCV)	PF07652	Flavivirus DEAD domain	PF07652;PF01543;PF01542;PF01539;PF01560;PF01538;PF01006;PF01001;PF01506;PF08300;PF08301;PF12941;PF22027;PF02907;PF00998
O93209	POL_FFV	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.26.4; 3.4.23.-	1156	Feline foamy virus (FFV) (Feline syncytial virus)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF17921;PF00075;PF17919;PF00665;PF00078;PF18103;PF03539
O93215	POL_HV190	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.13.2; 3.1.26.13; 3.4.23.16	1435	Human immunodeficiency virus type 1 group M subtype H (isolate 90CF056) (HIV-1)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00540;PF19317;PF00552;PF02022;PF00075;PF00665;PF00077;PF00078;PF06815;PF06817;PF00098
O94282	CTU1_SCHPO	2.7.7.-	335	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	PF01171	PP-loop domain	PF01171;PF16503
O94623	REV1_SCHPO	2.7.7.-	935	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	PF00817	impB/mucB/samB family	PF16589;PF00817;PF11799;PF21999;PF16727
O95340	PAPS2_HUMAN	2.7.1.25; 2.7.7.4	614	Homo sapiens (Human)	PF01747	ATP-sulfurylase	PF01583;PF01747;PF14306
O95396	MOCS3_HUMAN	2.7.7.80; 2.8.1.11	460	Homo sapiens (Human)	PF00899	ThiF family	PF00581;PF00899
O95602	RPA1_HUMAN	2.7.7.6	1720	Homo sapiens (Human)	PF04998	RNA polymerase Rpb1, domain 5	PF04997;PF00623;PF04983;PF05000;PF04998
O95674	CDS2_HUMAN	2.7.7.41	445	Homo sapiens (Human)	PF01148	Cytidylyltransferase family	PF01148
P00573	RPOL_BPT7	2.7.7.6	883	Escherichia phage T7 (Bacteriophage T7)	PF00940	DNA-dependent RNA polymerase	PF00940;PF14700
P00581	DPOL_BPT7	2.7.7.7; 3.1.11.-	704	Escherichia phage T7 (Bacteriophage T7)	PF00476	DNA polymerase family A	PF00476
P00582	DPO1_ECOLI	2.7.7.7	928	Escherichia coli (strain K12)	PF00476	DNA polymerase family A	PF01367;PF02739;PF00476;PF01612
P00973	OAS1_HUMAN	2.7.7.84	400	Homo sapiens (Human)	PF01909	Nucleotidyltransferase domain	PF01909;PF10421
P03007	DPO3E_ECOLI	2.7.7.7	243	Escherichia coli (strain K12)	PF00929	Exonuclease	PF00929
P03155	DPOL_HBVD1	2.7.7.49; 2.7.7.7; 3.1.26.4	750	Hepatitis B virus genotype D subtype adw (isolate United Kingdom/adyw/1979) (HBV-D)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00336;PF00242;PF00078
P03156	DPOL_HBVD3	2.7.7.49; 2.7.7.7; 3.1.26.4	832	Hepatitis B virus genotype D subtype ayw (isolate France/Tiollais/1979) (HBV-D)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00336;PF00242;PF00078
P03162	DPOL_DHBV1	2.7.7.49; 2.7.7.7; 3.1.26.4	836	Duck hepatitis B virus (strain United States/DHBV-16) (DHBV)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00336;PF00242;PF00078
P03300	POLG_POL1M	2.7.7.48; 3.4.22.28; 3.4.22.29; 3.6.1.15	2209	Poliovirus type 1 (strain Mahoney)	PF00680	Viral RNA-dependent RNA polymerase	PF08727;PF00548;PF02226;PF00947;PF01552;PF00680;PF00073;PF00910
P03301	POLG_POL1S	2.7.7.48; 3.4.22.28; 3.4.22.29; 3.6.1.15	2209	Poliovirus type 1 (strain Sabin)	PF00680	Viral RNA-dependent RNA polymerase	PF08727;PF00548;PF02226;PF00947;PF01552;PF00680;PF00073;PF00910
P03302	POLG_POL3L	2.7.7.48; 3.4.22.28; 3.4.22.29; 3.6.1.15	2206	Poliovirus type 3 (strains P3/Leon/37 and P3/Leon 12A[1]B)	PF00680	Viral RNA-dependent RNA polymerase	PF08727;PF00548;PF02226;PF00947;PF01552;PF00680;PF00073;PF00910
P03303	POLG_HRV14	2.7.7.48; 3.4.22.28; 3.4.22.29; 3.6.1.15	2179	Human rhinovirus 14 (HRV-14)	PF00680	Viral RNA-dependent RNA polymerase	PF08727;PF00548;PF02226;PF00947;PF01552;PF00680;PF00073;PF00910
P03304	POLG_EMCV	2.7.7.48; 3.4.22.28; 3.6.4.13	2290	Encephalomyocarditis virus	PF00680	Viral RNA-dependent RNA polymerase	PF00548;PF00680;PF00073;PF22663;PF00910;PF11475
P03305	POLG_FMDVO	2.7.7.48; 3.4.22.28; 3.4.22.46; 3.6.1.15	2332	Foot-and-mouth disease virus serotype O (FMDV)	PF00680	Viral RNA-dependent RNA polymerase	PF05408;PF00548;PF00680;PF00073;PF00910
P03306	POLG_FMDV1	2.7.7.48; 3.4.22.28; 3.4.22.46; 3.6.1.15	2332	Foot-and-mouth disease virus (strain A10/Holland/1961 serotype A) (FMDV)	PF00680	Viral RNA-dependent RNA polymerase	PF05408;PF00548;PF00680;PF00073;PF00910
P03307	POLG_FMDV5	2.7.7.48; 3.4.22.28; 3.4.22.46; 3.6.1.15	2332	Foot-and-mouth disease virus (isolate -/Germany/A5Westerwald/1951 serotype A) (FMDV)	PF00680	Viral RNA-dependent RNA polymerase	PF05408;PF00548;PF00680;PF00073;PF00910
P03308	POLG_FMDVA	2.7.7.48; 3.4.22.28; 3.4.22.46; 3.6.1.15	2333	Foot-and-mouth disease virus (isolate Bovine/United Kingdom/A12Valle119/1932 serotype A) (FMDV)	PF00680	Viral RNA-dependent RNA polymerase	PF05408;PF00548;PF00680;PF00073;PF00910
P03309	POLG_FMDVC	2.7.7.48; 3.4.22.28; 3.4.22.46; 3.6.1.15	2333	Foot-and-mouth disease virus (isolate Bovine/Brazil/A24Cruzeiro/1955 serotype A) (FMDV)	PF00680	Viral RNA-dependent RNA polymerase	PF05408;PF00548;PF00680;PF00073;PF00910
P03310	POLG_FMDVI	2.7.7.48; 3.4.22.28; 3.4.22.46; 3.6.1.15	2328	Foot-and-mouth disease virus (isolate -/Brazil/C3Indaial/1971 serotype C) (FMDV)	PF00680	Viral RNA-dependent RNA polymerase	PF05408;PF00548;PF00680;PF00073;PF00910
P03311	POLG_FMDVS	2.7.7.48; 3.4.22.28; 3.4.22.46; 3.6.1.15	2327	Foot-and-mouth disease virus (isolate -/Spain/S8c1SantaPau/1970 serotype C) (FMDV)	PF00680	Viral RNA-dependent RNA polymerase	PF05408;PF00548;PF00680;PF00073;PF00910
P03313	POLG_CXB3N	2.7.7.48; 3.4.22.28; 3.4.22.29; 3.6.1.15	2185	Coxsackievirus B3 (strain Nancy)	PF00680	Viral RNA-dependent RNA polymerase	PF08727;PF00548;PF02226;PF00947;PF01552;PF00680;PF00073;PF22663;PF00910
P03314	POLG_YEFV1	2.1.1.56; 2.1.1.57; 2.7.7.48; 3.4.21.91; 3.6.1.15; 3.6.4.13	3411	Yellow fever virus (strain 17D vaccine) (YFV)	PF07652	Flavivirus DEAD domain	PF20907;PF01003;PF07652;PF21659;PF02832;PF00869;PF01004;PF00948;PF01005;PF01002;PF01350;PF01349;PF00972;PF20483;PF01570;PF01728;PF00949
P03317	POLN_SINDV	2.1.1.-; 2.7.7.-; 2.7.7.19; 2.7.7.48; 3.1.3.84; 3.4.22.-; 3.6.1.15; 3.6.1.74; 3.6.4.13	2513	Sindbis virus (SINV)	PF00978	RNA dependent RNA polymerase	PF01661;PF20852;PF01707;PF00978;PF20896;PF01443;PF01660
P03318	POLN_MIDDV	2.7.7.19; 2.7.7.48; 3.1.3.84	995	Middelburg virus	PF00978	RNA dependent RNA polymerase	PF20852;PF00978
P03354	POL_RSVP	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.26.4; 3.4.23.-	1603	Rous sarcoma virus subgroup C (strain Prague) (RSV-Pr-C)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00607;PF00552;PF02022;PF02813;PF00665;PF00077;PF00078;PF06817;PF00098
P03355	POL_MLVMS	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.26.4; 3.4.23.-	1738	Moloney murine leukemia virus (isolate Shinnick) (MoMLV)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF01140;PF01141;PF02093;PF18697;PF00075;PF17919;PF00665;PF00077;PF00078;PF00098;PF16721
P03356	POL_MLVAV	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.26.4; 3.4.23.-	1734	AKV murine leukemia virus (AKR (endogenous) murine leukemia virus)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF01140;PF01141;PF02093;PF18697;PF00075;PF17919;PF00665;PF00077;PF00078;PF00098;PF16721
P03359	POL_WMSV	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.26.4; 3.4.23.-	1687	Woolly monkey sarcoma virus (WMSV) (Simian sarcoma-associated virus)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF01140;PF02093;PF18697;PF00075;PF17919;PF00665;PF00077;PF00078;PF00098;PF09337
P03360	POL_AVIRE	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.26.4; 3.4.23.-	1152	Avian reticuloendotheliosis virus	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF18697;PF00075;PF17919;PF00665;PF00077;PF00078;PF09337
P03361	POL_BLVJ	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.26.4; 3.4.23.-	1416	Bovine leukemia virus (isolate Japanese BLV-1) (BLV)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF02228;PF00607;PF19317;PF00552;PF00075;PF00665;PF00077;PF00078;PF00098
P03362	POL_HTL1A	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.26.4; 3.4.23.-	1462	Human T-cell leukemia virus 1 (strain Japan ATK-1 subtype A) (HTLV-1)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF02228;PF00607;PF19317;PF00552;PF02022;PF00075;PF00665;PF00077;PF00078;PF00098
P03363	POL_HTLV2	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.26.4; 3.4.23.-	1461	Human T-cell leukemia virus 2 (HTLV-2)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF02228;PF00607;PF19317;PF00552;PF02022;PF00075;PF00665;PF00077;PF00078;PF00098
P03364	POL_SMRVH	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.26.4; 3.4.23.-; 3.6.1.23	1880	Squirrel monkey retrovirus (SMRV-H) (SMRV-HLB)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00692;PF01585;PF02337;PF00607;PF19317;PF00552;PF02022;PF00075;PF00665;PF00077;PF00078;PF06817;PF14787
P03365	POL_MMTVB	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.26.4; 3.4.23.-; 3.6.1.23	1755	Mouse mammary tumor virus (strain BR6) (MMTV)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00692;PF02337;PF00607;PF19317;PF00552;PF02022;PF00075;PF00665;PF00077;PF00078;PF06817;PF00098;PF14787
P03366	POL_HV1B1	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.13.2; 3.1.26.13; 3.4.23.16	1447	Human immunodeficiency virus type 1 group M subtype B (isolate BH10) (HIV-1)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00540;PF19317;PF00552;PF02022;PF00075;PF00665;PF00077;PF00078;PF06815;PF06817;PF00098
P03367	POL_HV1BR	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.13.2; 3.1.26.13; 3.4.23.16	1447	Human immunodeficiency virus type 1 group M subtype B (isolate BRU/LAI) (HIV-1)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00540;PF19317;PF00552;PF02022;PF00075;PF00665;PF00077;PF00078;PF06815;PF06817;PF00098
P03369	POL_HV1A2	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.13.2; 3.1.26.13; 3.4.23.16	1437	Human immunodeficiency virus type 1 group M subtype B (isolate ARV2/SF2) (HIV-1)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00540;PF19317;PF00552;PF02022;PF00075;PF00665;PF00077;PF00078;PF06815;PF06817;PF00098
P03370	POL_VILV	2.7.7.-; 2.7.7.49; 2.7.7.7; 3.1.-.-; 3.1.13.2; 3.1.26.4; 3.4.23.-; 3.6.1.23	1506	Maedi visna virus (strain 1514) (MVV) (Visna lentivirus)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00692;PF00607;PF19317;PF02022;PF00075;PF00665;PF00077;PF00078;PF00098
P03371	POL_EIAVY	2.7.7.-; 2.7.7.49; 3.1.-.-; 3.1.13.2; 3.1.26.13; 3.4.23.-	1145	Equine infectious anemia virus (strain Wyoming) (EIAV)	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase)	PF00692;PF00552;PF02022;PF00075;PF00665;PF00077;PF00078;PF06815;PF06817
P03430	RDRP_I33A0	2.7.7.48	757	Influenza A virus (strain A/Wilson-Smith/1933 H1N1) (Influenza A virus (strain A/WS/1933 H1N1))	PF00602	Influenza RNA-dependent RNA polymerase subunit PB1	PF00602
P03431	RDRP_I34A1	2.7.7.48	757	Influenza A virus (strain A/Puerto Rico/8/1934 H1N1)	PF00602	Influenza RNA-dependent RNA polymerase subunit PB1	PF00602
